Course Code,Term,Course Name,Math,NS,CS,ES,ED
MIE242H1,F,Foundations of Cognitive Psychology,0,54.9,0,0,0
MIE342H1,F,Circuits with Applications to Mechanical Engineering,0,0,0,35.1,15
MIE343H1,F,Industrial Ergonomics and the Workplace,0,26.6,0,26.6,0
MIE344H1,S,Ergonomic Design of Information Systems,0,0,0,34.6,23
MIE369H1,S,Introduction to Artificial Intelligence,0,0,0,38.4,12.8
MIE402H1,S,Vibrations,0,0,0,38.4,16.5
MIE439H1,F,Biomechanics I,0,12.1,0,12.1,24.1
MIE440H1,F,Design of Innovative Products,0,0,0,21.4,21.4
MIE443H1,S,Mechatronics Systems: Design and Integration,0,0,0,17.3,40.3
MIE444H1,F,Mechatronics Principles,0,0,0,17.1,25.7
MIE469H1,S,Reliability and Maintainability Engineering,0,0,0,38.4,12.8
MIE505H1,S,Micro/Nano Robotics,0,0,0,43.2,14.4
MIE519H1,S,Advanced Manufacturing Technologies,0,0,0,19.2,19.2
MIE523H1,F,Engineering Psychology and Human Performance,0,0,0,39.8,13.3
MIE535H1,S,Electrification through Electricity Markets,0,0,0,51.2,0
MIE540H1,S,Product Design,0,0,0,22.4,22.4
MIE561H1,S,Healthcare Systems,0,0,0,25.6,25.6
MIE566H1,F,Decision Analysis,0,0,0,59,0
MIE567H1,S,Dynamic & Distributed Decision Making,12.8,0,0,25.6,12.8
MSE219H1,F,Structure and Characterization of Materials,0,30.5,0,30.5,0
MSE335H1,S,Material Physics,0,33.6,0,11.2,0
MSE431H1,S,Forensic Engineering,0,0,0,22.4,22.4
NFS284H1,F,Basic Human Nutrition,0,36,0,0,0
NFS284H1,S,Basic Human Nutrition,0,36,0,0,0
PCL102H1,S,The Art of Drug Discovery,0,24,0,0,0
PHL342H1,F,Minds and Machines,0,0,30,0,0
PHL342H1,S,Minds and Machines,0,0,30,0,0
PHL345H1,F,Intermediate Logic,0,0,30,0,0
PHY354H1,S,Advanced Classical Mechanics,0,30,0,0,0
PHY356H1,F,Quantum Mechanics I,0,30,0,0,0
PHY358H1,S,"Atoms, Molecules and Solids",0,30,0,0,0
PHY365H1,S,Quantum Information,0,15,0,15,0
PHY456H1,F,Quantum Mechanics II,0,30,0,0,0
PHY485H1,F,Laser Physics (formerly called 'Lasers and Modern),0,24,0,0,0
PSL201Y1,Y,Basic Human Physiology,0,56,0,0,0
PSY100H1,S,Introductory Psychology,0,36,0,0,0
PSY100H1,F,Introductory Psychology,0,36,0,0,0
PSY220H1,F,Introduction to Social Psychology,0,0,30,0,0
PSY220H1,S,Introduction to Social Psychology,0,0,30,0,0
ROB310H1,F,Mathematics for Robotics,31.4,0,0,13.4,0
ROB311H1,S,Artificial Intelligence,0,0,0,44.8,0
STA220H1,F,The Practice of Statistics I,36,0,0,0,0
STA304H1,S,Surveys Sampling and Observational Data,9,0,27,0,0
STA304H1,F,Surveys Sampling and Observational Data,9,0,27,0,0
TMU111H1,F,Introduction to Computer Applications in Music,0,0,30,0,0
TMU111H1,S,Introduction to Computer Applications in Music,0,0,30,0,0
TMU112H1,F,Introduction to Composition I,0,0,30,0,0
TMU313H1,F,Music Recording,0,0,30,0,0
